"Designator","Footprint","Mid X","Mid Y","Ref X","Ref Y","Pad X","Pad Y","Layer","Rotation","Comment"
""
"Y1","HC49/4H_SMX_CRYSTAL","12.45mm","40mm","7.7mm","40mm","7.7mm","40mm","T","360.00","8MHz"
"U2","TD03B_N","30.9mm","36.4mm","27.3mm","36.4mm","34.5mm","38.6mm","T","90.00","AP1117"
"U1","QFP50P1200X1200X120-64","11.95mm","27.45mm","8.2mm","21.7mm","8.2mm","21.7mm","T","90.00","PIC32MX764F128H-I/PT"
"R4","RESC1608N","23.9mm","26.55mm","23.9mm","25.8mm","23.9mm","25.8mm","T","90.00","470r"
"R3","RESC1608N","12.55mm","16.6mm","13.3mm","16.6mm","13.3mm","16.6mm","T","180.00","4.7k"
"R2","RESC1608N","3.1mm","46.65mm","3.1mm","45.9mm","3.1mm","45.9mm","T","90.00","330r"
"R2","RESC1608N","8.2mm","46.65mm","8.2mm","45.9mm","8.2mm","45.9mm","T","90.00","330r"
"R2","RESC1608N","35mm","46.65mm","35mm","45.9mm","35mm","45.9mm","T","90.00","330r"
"R2","RESC1608N","39.6mm","46.65mm","39.6mm","45.9mm","39.6mm","45.9mm","T","90.00","330r"
"R1","PDB181-K415K-102A2","21.6mm","49.1mm","13.1mm","43.2mm","16.6mm","49.1mm","T","0.00","10k"
"P2","PHOENIX_1985195","26.1mm","12.9mm","21.1mm","5.7mm","27.85mm","10.4mm","T","0.00","12V Battery"
"P1","PHOENIX_1985195","36.7mm","12.9mm","31.7mm","5.7mm","38.45mm","10.4mm","T","0.00","12V Main"
"J1","RJ12_90","8.4mm","7.05mm","1.8mm","-5.3mm","11.6mm","9mm","T","0.00","Program / Debug"
"FB1","INDC1608AN","27.35mm","30.8mm","28.1mm","30.8mm","28.1mm","30.8mm","T","180.00","600r"
"D4","LED_0805","23.9mm","23.35mm","23.9mm","22.4mm","23.9mm","24.3mm","T","90.00","Green LED"
"D3","SMA/DO-214AC_21","27.9mm","24.05mm","27.9mm","25.7mm","27.9mm","22.4mm","T","270.00","GF1A"
"D2","SMA/DO-214AC_21","38.3mm","24.05mm","38.3mm","25.7mm","38.3mm","22.4mm","T","270.00","GF1A"
"LED3","LED_0805","3.1mm","50.15mm","3.1mm","51.1mm","3.1mm","49.2mm","T","270.00","Green LED"
"LED2","LED_0805","8.2mm","50.15mm","8.2mm","51.1mm","8.2mm","49.2mm","T","270.00","Green LED"
"LED1","LED_0805","35mm","50.15mm","35mm","51.1mm","35mm","49.2mm","T","270.00","Green LED"
"LED0","LED_0805","39.6mm","50.25mm","39.6mm","51.2mm","39.6mm","49.3mm","T","270.00","Green LED"
"C15","CAPC1608N","24.9mm","30.05mm","24.9mm","29.3mm","24.9mm","29.3mm","T","90.00","100nF"
"C14","CAPC1608N","30mm","30.05mm","30mm","29.3mm","30mm","29.3mm","T","90.00","1uF"
"C13","CAPC2012N","34mm","30.15mm","34mm","29.2mm","34mm","29.2mm","T","90.00","10uF"
"C12","CAPC2012N","38.3mm","36.45mm","38.3mm","37.4mm","38.3mm","37.4mm","T","270.00","10uF"
"C11","CAPC2012N","33.6mm","24.35mm","33.6mm","23.4mm","33.6mm","23.4mm","T","90.00","10uF"
"C10","CAPC1608N","3.8mm","28.95mm","3.8mm","29.7mm","3.8mm","29.7mm","T","270.00","1uF"
"C9","CAPC2012N","1.5mm","28.95mm","1.5mm","29.9mm","1.5mm","29.9mm","T","270.00","10uF"
"C8","CAPC1608N","11.15mm","36.9mm","10.4mm","36.9mm","10.4mm","36.9mm","T","360.00","20pF"
"C7","CAPC1608N","13.65mm","36.9mm","14.4mm","36.9mm","14.4mm","36.9mm","T","180.00","20pF"
"C6","CAPC1608N","20.1mm","24.85mm","20.1mm","25.6mm","20.1mm","25.6mm","T","270.00","100nF"
"C5","CAPC1608N","3.8mm","25.75mm","3.8mm","25mm","3.8mm","25mm","T","90.00","100nF"
"C4","CAPC1608N","16.35mm","36.3mm","17.1mm","36.3mm","17.1mm","36.3mm","T","180.00","100nF"
"C3","CAPC1608N","16.35mm","34.8mm","17.1mm","34.8mm","17.1mm","34.8mm","T","180.00","100nF"
"C2","CAPC1608N","20.1mm","27.5mm","20.1mm","26.75mm","20.1mm","26.75mm","T","90.00","100nF"
"C1","CAPC1608N","12.95mm","19.7mm","12.2mm","19.7mm","12.2mm","19.7mm","T","0.00","100nF"

